Time	resetn	IF_pc	IF_inst	ID_pc	EXE_pc	MEM_pc	WB_pc	cpu_5_valid	HI_data	LO_data	rf_data	mem_data
              445000	1	00000060	11030002	0000005c	0000005c	00000058	00000058	000f0f0f	xxxxxxxx	xxxxxxxx	00000000	00000000
              455000	1	00000064	11030002	00000060	0000005c	0000005c	00000058	000ff0f0	xxxxxxxx	xxxxxxxx	00000000	00000000
              465000	1	00000064	ac08001c	00000060	0000005c	0000005c	0000005c	000ff00f	xxxxxxxx	xxxxxxxx	00000000	00000000
              475000	1	0000006c	ac08001c	00000064	00000060	0000005c	0000005c	000fff00	xxxxxxxx	xxxxxxxx	00000000	00000000
              485000	1	0000006c	8c0a001c	00000064	00000064	00000060	0000005c	000f0ff0	xxxxxxxx	xxxxxxxx	00000000	00000000
              495000	1	00000070	8c0a001c	0000006c	00000064	00000064	00000060	000ff0ff	xxxxxxxx	xxxxxxxx	00000000	00000000
              505000	1	00000070	15450002	0000006c	0000006c	00000064	00000064	000f0f0f	xxxxxxxx	xxxxxxxx	00000000	00000000
              515000	1	00000074	15450002	00000070	0000006c	0000006c	00000064	000ff0f0	xxxxxxxx	xxxxxxxx	00000000	00000000
              525000	1	00000074	00415824	00000070	0000006c	0000006c	00000064	000ff0f0	xxxxxxxx	xxxxxxxx	00000000	00000000
              535000	1	0000007c	00415824	00000074	00000070	0000006c	0000006c	000fff0f	xxxxxxxx	xxxxxxxx	00000000	00000000
              545000	1	0000007c	0c000026	00000074	00000074	00000070	0000006c	000f0ff0	xxxxxxxx	xxxxxxxx	00000000	00000000
              555000	1	00000080	0c000026	0000007c	00000074	00000074	00000070	000ff0ff	xxxxxxxx	xxxxxxxx	00000000	00000000
              565000	1	00000080	ac040010	0000007c	00000074	00000074	00000074	000ff00f	xxxxxxxx	xxxxxxxx	00000000	00000000
              575000	1	00000098	ac040010	00000080	0000007c	00000074	00000074	000fff00	xxxxxxxx	xxxxxxxx	00000000	00000000
              585000	1	00000098	a07a0005	00000080	00000080	0000007c	00000074	000f0ff0	xxxxxxxx	xxxxxxxx	00000000	00000000
              595000	1	0000009c	a07a0005	00000098	00000080	00000080	0000007c	000ff0ff	xxxxxxxx	xxxxxxxx	00000000	00000000
              605000	1	0000009c	0143682b	00000098	00000098	00000080	00000080	000f0f0f	xxxxxxxx	xxxxxxxx	00000000	00000000
              615000	1	000000a0	0143682b	0000009c	00000098	00000098	00000080	000ff0f0	xxxxxxxx	xxxxxxxx	00000000	00000000
              625000	1	000000a0	1da00002	0000009c	0000009c	00000098	00000098	000f0f0f	xxxxxxxx	xxxxxxxx	00000000	00000000
              635000	1	000000a4	1da00002	000000a0	0000009c	0000009c	00000098	000ff0f0	xxxxxxxx	xxxxxxxx	00000000	00000000
              645000	1	000000a4	00867004	000000a0	0000009c	0000009c	0000009c	000ff00f	xxxxxxxx	xxxxxxxx	00000000	00000000
              655000	1	000000a8	00867004	000000a4	000000a0	0000009c	0000009c	000fff00	xxxxxxxx	xxxxxxxx	00000000	00000000
              665000	1	000000a8	000e7883	000000a4	000000a4	000000a0	0000009c	000f0ff0	xxxxxxxx	xxxxxxxx	00000000	00000000
              675000	1	000000ac	000e7883	000000a8	000000a4	000000a4	000000a0	000ff0ff	xxxxxxxx	xxxxxxxx	00000000	00000000
              685000	1	000000ac	002f8006	000000a8	000000a8	000000a4	000000a4	000f0f0f	xxxxxxxx	xxxxxxxx	00000000	00000000
