time_ps,resetn,IF_pc,ID_pc,EXE_pc,MEM_pc,WB_pc,IF_inst,inst_paddr,tlb_s0_found,tlb_s0_pfn,cpu_5_valid,HI_data,LO_data,rf_data,mem_data,dm_addr,dm_paddr,tlb_s1_found,tlb_s1_pfn,dm_wen,dm_wdata
275000,1,00000010,0000000c,00000008,00000008,00000004,ac04000c,00000010,0,00000,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000,00000008,00000008,0,00000,f,xxxxxxxx
285000,1,00000010,0000000c,0000000c,00000008,00000008,ac050010,00000010,0,00000,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000,00000008,00000008,0,00000,0,xxxxxxxx
295000,1,00000014,00000010,0000000c,0000000c,00000008,ac050010,00000014,0,00000,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000,0000000c,0000000c,0,00000,f,xxxxxxxx
305000,1,00000014,00000010,00000010,0000000c,0000000c,ac060018,00000014,0,00000,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000,0000000c,0000000c,0,00000,0,xxxxxxxx
315000,1,00000018,00000014,00000010,00000010,0000000c,ac060018,00000018,0,00000,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000,00000010,00000010,0,00000,f,xxxxxxxx
325000,1,00000018,00000014,00000014,00000010,00000010,ac070070,00000018,0,00000,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000,00000010,00000010,0,00000,0,xxxxxxxx
335000,1,0000001c,00000018,00000014,00000014,00000010,ac070070,0000001c,0,00000,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000,00000018,00000018,0,00000,f,xxxxxxxx
345000,1,0000001c,00000018,00000018,00000014,00000014,ac190074,0000001c,0,00000,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000,00000018,00000018,0,00000,0,xxxxxxxx
355000,1,00000020,0000001c,00000018,00000018,00000014,ac190074,00000020,0,00000,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000,00000070,00000070,0,00000,f,xxxxxxxx
365000,1,00000020,0000001c,0000001c,00000018,00000018,ac0d0078,00000020,0,00000,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000,00000070,00000070,0,00000,0,xxxxxxxx
375000,1,00000024,00000020,0000001c,0000001c,00000018,ac0d0078,00000024,0,00000,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000,00000074,00000074,0,00000,f,xxxxxxxx
385000,1,00000024,00000020,00000020,0000001c,0000001c,40017000,00000024,0,00000,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000,00000074,00000074,0,00000,0,xxxxxxxx
395000,1,00000028,00000024,00000020,00000020,0000001c,40017000,00000028,0,00000,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000,00000078,00000078,0,00000,f,xxxxxxxx
405000,1,00000028,00000024,00000024,00000020,00000020,24210004,00000028,0,00000,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000,00000078,00000078,0,00000,0,xxxxxxxx
415000,1,0000002c,00000028,00000024,00000024,00000020,24210004,0000002c,0,00000,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000,00000000,00000000,0,00000,0,xxxxxxxx
425000,1,0000002c,00000028,00000024,00000024,00000024,40817000,0000002c,0,00000,000ff00f,xxxxxxxx,xxxxxxxx,00000000,00000000,00000000,00000000,0,00000,0,xxxxxxxx
435000,1,00000030,0000002c,00000028,00000024,00000024,40817000,00000030,0,00000,000fff00,xxxxxxxx,xxxxxxxx,00000000,00000000,00000000,00000000,0,00000,0,xxxxxxxx
445000,1,00000030,0000002c,0000002c,00000028,00000024,42000018,00000030,0,00000,000f0ff0,xxxxxxxx,xxxxxxxx,00000000,00000000,0000003c,0000003c,0,00000,0,xxxxxxxx
455000,1,00000034,00000030,0000002c,0000002c,00000028,42000018,00000034,0,00000,000ff0ff,xxxxxxxx,xxxxxxxx,00000000,00000000,0000003c,0000003c,0,00000,0,0000003c
465000,1,00000034,00000030,00000030,0000002c,0000002c,24080005,00000034,0,00000,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000,0000003c,0000003c,0,00000,0,0000003c
475000,1,00000038,00000034,00000030,00000030,0000002c,24080005,00000038,0,00000,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000,00000000,00000000,0,00000,0,00000000
485000,1,00000038,00000034,00000034,00000030,00000030,8d090001,00000038,0,00000,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000,00000000,00000000,0,00000,0,00000000
495000,1,0000003c,00000038,00000034,00000034,00000030,8d090001,0000003c,0,00000,000f0000,xxxxxxxx,xxxxxxxx,00000000,00000000,00000005,00000005,0,00000,0,00000500
505000,1,0000003c,00000038,00000034,00000034,00000030,ad090002,0000003c,0,00000,000f0000,xxxxxxxx,xxxxxxxx,00000000,00000000,00000005,00000005,0,00000,0,00000500
515000,1,00000040,0000003c,00000034,00000034,00000030,ad090002,00000040,0,00000,000ff000,xxxxxxxx,xxxxxxxx,00000000,00000000,00000005,00000005,0,00000,0,00000500
