Time(dd),Time(hh:mm:ss),1st Value,1st Unit,2nd Value,2nd Unit,Count,Note
00,00:00:00,+0.4953E+0,V DC,-0.7E-7,A DC,#START#,00001#
00,00:00:01,+0.4957E+0,V DC,-0.7E-7,A DC,0000002,00002#
00,00:00:02,+0.4966E+0,V DC,-0.7E-7,A DC,0000003,00003#
00,00:00:03,+0.4966E+0,V DC,-0.7E-7,A DC,0000004,00004#
00,00:00:03,+0.4958E+0,V DC,-0.7E-7,A DC,0000005,00005#
00,00:00:04,+0.4962E+0,V DC,-0.7E-7,A DC,0000006,00006#
00,00:00:05,+0.4968E+0,V DC,-0.7E-7,A DC,0000007,00007#
00,00:00:06,+0.4966E+0,V DC,-0.7E-7,A DC,0000008,00008#
00,00:00:07,+0.4967E+0,V DC,-0.7E-7,A DC,0000009,00009#
00,00:00:08,+0.4964E+0,V DC,-0.6E-7,A DC,0000010,00010#
00,00:00:08,+0.4956E+0,V DC,-0.7E-7,A DC,0000011,00011#
00,00:00:09,+0.4946E+0,V DC,-0.7E-7,A DC,0000012,00012#
00,00:00:10,+0.4957E+0,V DC,-0.7E-7,A DC,0000013,00013#
00,00:00:11,+0.4960E+0,V DC,-0.7E-7,A DC,0000014,00014#
00,00:00:12,+0.4964E+0,V DC,-0.7E-7,A DC,0000015,00015#
00,00:00:13,+0.4962E+0,V DC,-0.6E-7,A DC,0000016,00016#
00,00:00:13,+0.4968E+0,V DC,-0.7E-7,A DC,0000017,00017#
00,00:00:14,+0.4972E+0,V DC,-0.7E-7,A DC,0000018,00018#
00,00:00:15,+0.5631E+0,V DC,-0.7E-7,A DC,0000019,00019#
00,00:00:16,+0.6473E+0,V DC,-0.8E-7,A DC,0000020,00020#
00,00:00:17,+0.6869E+0,V DC,-0.9E-7,A DC,0000021,00021#
00,00:00:18,+0.7836E+0,V DC,-1.0E-7,A DC,0000022,00022#
00,00:00:18,+0.8876E+0,V DC,-1.0E-7,A DC,0000023,00023#
00,00:00:19,+0.8400E+0,V DC,-1.1E-7,A DC,0000024,00024#
00,00:00:20,+0.8995E+0,V DC,-1.1E-7,A DC,0000025,00025#
00,00:00:21,+0.8918E+0,V DC,-1.1E-7,A DC,0000026,00026#
00,00:00:22,+0.9487E+0,V DC,-1.2E-7,A DC,0000027,00027#
00,00:00:23,+1.0083E+0,V DC,-1.2E-7,A DC,0000028,00028#
00,00:00:23,+1.0048E+0,V DC,-1.2E-7,A DC,0000029,00029#
00,00:00:24,+1.0027E+0,V DC,-1.2E-7,A DC,0000030,00030#
00,00:00:25,+1.0023E+0,V DC,-1.1E-7,A DC,0000031,00031#
00,00:00:26,+1.0014E+0,V DC,-1.2E-7,A DC,0000032,00032#
00,00:00:27,+1.0012E+0,V DC,-1.1E-7,A DC,0000033,00033#
00,00:00:28,+1.0011E+0,V DC,-1.2E-7,A DC,0000034,00034#
00,00:00:28,+1.0007E+0,V DC,-1.2E-7,A DC,0000035,00035#
00,00:00:29,+0.9987E+0,V DC,-1.2E-7,A DC,0000036,00036#
00,00:00:30,+0.9978E+0,V DC,-1.2E-7,A DC,0000037,00037#
00,00:00:31,+0.9980E+0,V DC,-1.2E-7,A DC,0000038,00038#
00,00:00:32,+0.9970E+0,V DC,-1.2E-7,A DC,0000039,00039#
00,00:00:33,+0.9961E+0,V DC,-1.2E-7,A DC,0000040,00040#
00,00:00:33,+0.9964E+0,V DC,-1.2E-7,A DC,0000041,00041#
00,00:00:34,+0.9962E+0,V DC,-1.2E-7,A DC,0000042,00042#
00,00:00:35,+0.9967E+0,V DC,-1.2E-7,A DC,0000043,00043#
00,00:00:36,+0.9969E+0,V DC,-1.2E-7,A DC,0000044,00044#
00,00:00:37,+1.0012E+0,V DC,-1.2E-7,A DC,0000045,00045#
00,00:00:38,+1.0259E+0,V DC,-1.3E-7,A DC,0000046,00046#
00,00:00:38,+1.1585E+0,V DC,-1.3E-7,A DC,0000047,00047#
00,00:00:39,+1.2431E+0,V DC,-1.4E-7,A DC,0000048,00048#
00,00:00:40,+1.3191E+0,V DC,-1.5E-7,A DC,0000049,00049#
00,00:00:41,+1.4187E+0,V DC,-1.7E-7,A DC,0000050,00050#
00,00:00:42,+1.6763E+0,V DC,-1.7E-7,A DC,0000051,00051#
00,00:00:42,+1.5482E+0,V DC,-1.7E-7,A DC,0000052,00052#
00,00:00:43,+1.5345E+0,V DC,-1.7E-7,A DC,0000053,00053#
00,00:00:44,+1.5451E+0,V DC,-1.7E-7,A DC,0000054,00054#
00,00:00:45,+1.5301E+0,V DC,-1.7E-7,A DC,0000055,00055#
00,00:00:46,+1.5298E+0,V DC,-1.7E-7,A DC,0000056,00056#
00,00:00:47,+1.5311E+0,V DC,-1.7E-7,A DC,0000057,00057#
00,00:00:47,+1.5209E+0,V DC,-1.7E-7,A DC,0000058,00058#
00,00:00:48,+1.5035E+0,V DC,-1.7E-7,A DC,0000059,00059#
00,00:00:49,+1.5090E+0,V DC,-1.7E-7,A DC,0000060,00060#
00,00:00:50,+1.5076E+0,V DC,-1.7E-7,A DC,0000061,00061#
00,00:00:51,+1.5262E+0,V DC,-1.8E-7,A DC,0000062,00062#
00,00:00:52,+1.5191E+0,V DC,-1.7E-7,A DC,0000063,00063#
00,00:00:52,+1.5231E+0,V DC,-1.7E-7,A DC,0000064,00064#
00,00:00:53,+1.5294E+0,V DC,-1.7E-7,A DC,0000065,00065#
00,00:00:54,+1.5471E+0,V DC,-1.7E-7,A DC,0000066,00066#
00,00:00:55,+1.5191E+0,V DC,-1.7E-7,A DC,0000067,00067#
00,00:00:56,+1.5197E+0,V DC,-1.7E-7,A DC,0000068,00068#
00,00:00:57,+1.5072E+0,V DC,-1.7E-7,A DC,0000069,00069#
00,00:00:57,+1.5002E+0,V DC,-1.7E-7,A DC,0000070,00070#
00,00:00:58,+1.4883E+0,V DC,-1.7E-7,A DC,0000071,00071#
00,00:00:59,+1.4862E+0,V DC,-1.6E-7,A DC,0000072,00072#
00,00:01:00,+1.4871E+0,V DC,-1.6E-7,A DC,0000073,00073#
00,00:01:01,+1.4853E+0,V DC,-1.7E-7,A DC,0000074,00074#
00,00:01:02,+1.5478E+0,V DC,-1.8E-7,A DC,0000075,00075#
00,00:01:02,+1.7797E+0,V DC,-1.9E-7,A DC,0000076,00076#
00,00:01:03,+1.7262E+0,V DC,-1.9E-7,A DC,0000077,00077#
00,00:01:04,+1.8299E+0,V DC,-0.20E-6,A DC,0000078,00078#
00,00:01:05,+1.9325E+0,V DC,-0.21E-6,A DC,0000079,00079#
00,00:01:06,+0.20037E+1,V DC,-0.22E-6,A DC,0000080,00080#
00,00:01:07,+0.20640E+1,V DC,-0.21E-6,A DC,0000081,00081#
00,00:01:07,+1.9894E+0,V DC,-0.22E-6,A DC,0000082,00082#
00,00:01:08,+1.9782E+0,V DC,-0.22E-6,A DC,0000083,00083#
00,00:01:09,+1.9790E+0,V DC,-0.21E-6,A DC,0000084,00084#
00,00:01:10,+1.9827E+0,V DC,-0.22E-6,A DC,0000085,00085#
00,00:01:11,+1.9793E+0,V DC,-0.22E-6,A DC,0000086,00086#
00,00:01:12,+1.9787E+0,V DC,-0.22E-6,A DC,0000087,00087#
00,00:01:12,+1.9803E+0,V DC,-0.22E-6,A DC,0000088,00088#
00,00:01:13,+1.9849E+0,V DC,-0.22E-6,A DC,0000089,00089#
00,00:01:14,+1.9751E+0,V DC,-0.22E-6,A DC,0000090,00090#
00,00:01:15,+1.9752E+0,V DC,-0.21E-6,A DC,0000091,00091#
00,00:01:16,+1.9720E+0,V DC,-0.21E-6,A DC,0000092,00092#
00,00:01:17,+1.9726E+0,V DC,-0.22E-6,A DC,0000093,00093#
