Time(dd),Time(hh:mm:ss),1st Value,1st Unit,2nd Value,2nd Unit,Count,Note
00,00:00:01,+0.4479E-1,V DC,-1.07E-6,A DC,#START#,00001#
00,00:00:01,+0.4491E-1,V DC,-1.07E-6,A DC,0000002,00002#
00,00:00:02,+0.4455E-1,V DC,-1.07E-6,A DC,0000003,00003#
00,00:00:03,+0.4478E-1,V DC,-1.06E-6,A DC,0000004,00004#
00,00:00:04,+0.4463E-1,V DC,-1.06E-6,A DC,0000005,00005#
00,00:00:05,+0.4466E-1,V DC,-1.06E-6,A DC,0000006,00006#
00,00:00:06,+0.4458E-1,V DC,-1.06E-6,A DC,0000007,00007#
00,00:00:06,+0.4450E-1,V DC,-1.06E-6,A DC,0000008,00008#
00,00:00:07,+0.4453E-1,V DC,-1.05E-6,A DC,0000009,00009#
00,00:00:08,+0.4444E-1,V DC,-1.05E-6,A DC,0000010,00010#
00,00:00:09,+0.4420E-1,V DC,-1.05E-6,A DC,0000011,00011#
00,00:00:10,+0.4431E-1,V DC,-1.05E-6,A DC,0000012,00012#
00,00:00:11,+0.4442E-1,V DC,-1.06E-6,A DC,0000013,00013#
00,00:00:11,+0.4440E-1,V DC,-1.05E-6,A DC,0000014,00014#
00,00:00:12,+0.4429E-1,V DC,-1.06E-6,A DC,0000015,00015#
00,00:00:13,+0.4426E-1,V DC,-1.05E-6,A DC,0000016,00016#
00,00:00:14,+0.4417E-1,V DC,-1.05E-6,A DC,0000017,00017#
00,00:00:15,+0.4414E-1,V DC,-1.05E-6,A DC,0000018,00018#
00,00:00:16,+0.4428E-1,V DC,-1.05E-6,A DC,0000019,00019#
00,00:00:16,+0.4439E-1,V DC,-1.05E-6,A DC,0000020,00020#
00,00:00:17,+0.4436E-1,V DC,-1.05E-6,A DC,0000021,00021#
00,00:00:18,+0.4430E-1,V DC,-1.05E-6,A DC,0000022,00022#
00,00:00:19,+0.4421E-1,V DC,-1.04E-6,A DC,0000023,00023#
00,00:00:20,+0.4422E-1,V DC,-1.05E-6,A DC,0000024,00024#
00,00:00:21,+0.4422E-1,V DC,-1.04E-6,A DC,0000025,00025#
00,00:00:21,+0.4425E-1,V DC,-1.05E-6,A DC,0000026,00026#
00,00:00:22,+0.4418E-1,V DC,-1.06E-6,A DC,0000027,00027#
00,00:00:23,+0.4408E-1,V DC,-1.05E-6,A DC,0000028,00028#
00,00:00:24,+0.4406E-1,V DC,-1.08E-6,A DC,0000029,00029#
00,00:00:25,+0.28967E+0,V DC,-1.99E-6,A DC,0000030,00030#
00,00:00:25,+0.42123E+0,V DC,-0.216E-5,A DC,0000031,00031#
00,00:00:27,+0.5191E+0,V DC,-0.237E-5,A DC,0000032,00032#
00,00:00:27,+0.5017E+0,V DC,-0.239E-5,A DC,0000033,00033#
00,00:00:28,+0.5023E+0,V DC,-0.239E-5,A DC,0000034,00034#
00,00:00:29,+0.5010E+0,V DC,-0.240E-5,A DC,0000035,00035#
00,00:00:30,+0.5013E+0,V DC,-0.241E-5,A DC,0000036,00036#
