Time(dd),Time(hh:mm:ss),1st Value,1st Unit,2nd Value,2nd Unit,Count,Note
00,00:00:00,+0.2214E-1,V DC,-0.20252E-3,A DC,#START#,00001#
00,00:00:01,+0.2209E-1,V DC,-0.20200E-3,A DC,0000002,00002#
00,00:00:02,+0.2204E-1,V DC,-0.20144E-3,A DC,0000003,00003#
00,00:00:03,+0.2195E-1,V DC,-0.20068E-3,A DC,0000004,00004#
00,00:00:03,+0.2183E-1,V DC,-1.9982E-4,A DC,0000005,00005#
00,00:00:04,+0.2173E-1,V DC,-1.9864E-4,A DC,0000006,00006#
00,00:00:05,+0.2163E-1,V DC,-1.9795E-4,A DC,0000007,00007#
00,00:00:06,+0.2156E-1,V DC,-1.9759E-4,A DC,0000008,00008#
00,00:00:07,+0.2150E-1,V DC,-1.9736E-4,A DC,0000009,00009#
00,00:00:08,+0.2150E-1,V DC,-1.9664E-4,A DC,0000010,00010#
00,00:00:08,+0.2145E-1,V DC,-1.8730E-4,A DC,0000011,00011#
00,00:00:10,+1.0696E-1,V DC,-0.9292E-3,A DC,0000012,00012#
00,00:00:11,+1.0306E-1,V DC,-1.3123E-3,A DC,0000013,00013#
00,00:00:11,+1.5474E-1,V DC,-1.3724E-3,A DC,0000014,00014#
00,00:00:12,+1.7585E-1,V DC,-1.6632E-3,A DC,0000015,00015#
00,00:00:13,+1.7192E-1,V DC,-1.5707E-3,A DC,0000016,00016#
00,00:00:14,+1.7203E-1,V DC,-1.5713E-3,A DC,0000017,00017#
00,00:00:15,+1.7073E-1,V DC,-1.5569E-3,A DC,0000018,00018#
00,00:00:15,+1.6899E-1,V DC,-1.5473E-3,A DC,0000019,00019#
00,00:00:16,+1.6895E-1,V DC,-1.5475E-3,A DC,0000020,00020#
00,00:00:17,+1.6890E-1,V DC,-1.5459E-3,A DC,0000021,00021#
00,00:00:18,+1.6860E-1,V DC,-1.5452E-3,A DC,0000022,00022#
00,00:00:19,+1.6845E-1,V DC,-1.5428E-3,A DC,0000023,00023#
