time_ps,cycle,resetn,IF_pc,ID_pc,EXE_pc,MEM_pc,WB_pc,IF_inst,cpu_5_valid,HI_data,LO_data,rf_data,mem_data
545000,45,1,00000044,00000040,00000040,0000003c,0000003c,0000000c,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000
555000,46,1,00000000,00000044,00000040,00000040,0000003c,0000000c,000f0000,xxxxxxxx,xxxxxxxx,00000000,00000000
565000,47,1,00000000,00000044,00000040,00000040,0000003c,ac010000,000f0000,xxxxxxxx,xxxxxxxx,00000000,00000000
575000,48,1,00000004,00000000,00000040,00000040,0000003c,ac010000,000ff000,xxxxxxxx,xxxxxxxx,00000000,00000000
585000,49,1,00000004,00000000,00000000,00000040,0000003c,ac020004,000f0f00,xxxxxxxx,xxxxxxxx,00000000,00000000
595000,50,1,00000008,00000004,00000000,00000000,0000003c,ac020004,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000
605000,51,1,00000008,00000004,00000004,00000000,00000000,ac030008,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000
615000,52,1,0000000c,00000008,00000004,00000004,00000000,ac030008,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000
625000,53,1,0000000c,00000008,00000008,00000004,00000004,ac04000c,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000
635000,54,1,00000010,0000000c,00000008,00000008,00000004,ac04000c,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000
645000,55,1,00000010,0000000c,0000000c,00000008,00000008,ac050010,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000
655000,56,1,00000014,00000010,0000000c,0000000c,00000008,ac050010,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000
665000,57,1,00000014,00000010,00000010,0000000c,0000000c,ac060018,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000
675000,58,1,00000018,00000014,00000010,00000010,0000000c,ac060018,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000
685000,59,1,00000018,00000014,00000014,00000010,00000010,ac070070,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000
